Name	MOA	Target	Disease Area	Indication	Vendor	Purity	Id	Phase
clidinium	acetylcholine receptor antagonist	CHRM1, CHRM3	gastroenterology	peptic ulcer disease (PUD), irritable bowel syndrome, enterocolitis	MicroSource	99.37	BRD-A46066006-004-22-6	Launched
climbazole	enzyme inducer		dermatology	dandruff, eczema	Selleck, MicroSource	99.56	BRD-A61676498-001-05-8, BRD-A61676498-001-06-6	Launched
clinafloxacin	bacterial DNA gyrase inhibitor				MicroSource, Selleck, Selleck, Selleck	98.71	BRD-A93964801-003-03-3, BRD-A93964801-001-14-4, BRD-A93964801-003-02-5, BRD-A93964801-001-15-1	Phase 3
clindamycin	protein synthesis inhibitor		infectious disease	respiratory tract infections, pneumonia, skin infections, gynecologic infections, intra-abdominal infections, bacterial septicemia, bone and joint infections	MicroSource, Selleck, Selleck	100	BRD-K23586533-003-01-6, BRD-K23586533-001-03-6, BRD-K23586533-003-02-4	Launched
clindamycin-palmitate	bacterial 50S ribosomal subunit inhibitor		infectious disease	intra-abdominal infections, skin infections, pneumonia, peritonitis, gynecologic infections	Selleck	100	BRD-A76672327-003-02-0	Launched
clindamycin-phosphate	protein synthesis inhibitor		obstetrics/gynecology	bacterial vaginosis	Selleck	100	BRD-K27771035-001-02-5	Launched
clinofibrate	lipase clearing factor inhibitor	LPL	endocrinology	hypertriglyceridemia	Selleck	94.72	BRD-A90625545-001-02-0	Launched
clioquinol	chelating agent	OPRK1			MicroSource	91.44	BRD-K09255212-001-16-6	Withdrawn
clobazam	GABA benzodiazepine site receptor agonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ	neurology/psychiatry	seizures	Enzo	98.93	BRD-K52408781-001-02-8	Launched
clobenpropit	histamine receptor antagonist	HRH1, HRH2, HRH3, HRH4			Tocris	96.33	BRD-K71430621-303-02-3	Preclinical
clobetasol-propionate	glucocorticoid receptor agonist	NR3C1, PLA2G1B	dermatology	corticosteroid-responsive dermatoses	Sigma, MicroSource, Selleck	98.73	BRD-K10799896-001-24-7, BRD-K10799896-001-26-2, BRD-K10799896-001-25-4	Launched
clobetasone-butyrate	corticosteroid agonist	NR3C1	dermatology	eczema, psoriasis, dermatitis	Sigma	93.44	BRD-K58810291-001-16-2	Launched
clobutinol	antitussive				Prestwick	96.04	BRD-A43809092-003-02-1	Withdrawn
clocortolone-pivalate	steroid	NR3C1, PLA2G1B	dermatology	corticosteroid-responsive dermatoses	Prestwick	98.68	BRD-K38003476-001-09-1	Launched
clodronic-acid	bone resorption inhibitor	SLC25A4, SLC25A5, SLC25A6	orthopedics, endocrinology, hematologic malignancy	osteoporosis, hyperparathyroidism, hypercalcemia, multiple myeloma	Selleck, Selleck	0	BRD-K72542090-304-02-4, BRD-K72542090-304-03-2	Launched
clofarabine	ribonucleotide reductase inhibitor	POLA1, POLD1, POLE, RRM1, RRM2, RRM2B	hematologic malignancy	acute lymphoblastic leukemia (ALL)	Tocris, Tocris, Selleck	98.71	BRD-K34022604-001-09-0, BRD-K34022604-001-06-6, BRD-K34022604-001-05-8	Launched
clofazimine	GK0582 inhibitor		infectious disease	leprosy	MicroSource, Selleck, Selleck	86.22	BRD-K56614220-001-19-0, BRD-K56614220-001-18-2, BRD-K56614220-001-21-6	Launched
clofedanol	histamine receptor antagonist	HRH1	pulmonary	cough suppressant	Sigma	97.05	BRD-A15687940-001-05-6	Launched
clofibrate	PPAR receptor agonist	LPL, PPARA	endocrinology, cardiology	hyperlipidemia, cholesterol	MicroSource, Selleck, Selleck	99.05	BRD-K45252063-001-13-6, BRD-K45252063-001-14-4, BRD-K45252063-001-12-8	Launched
clofibric-acid	PPAR receptor agonist	PPARA			MicroSource, Tocris, Selleck	98.95	BRD-K19111024-001-20-9, BRD-K19111024-001-19-1, BRD-K19111024-001-18-3	Launched
clofilium	potassium channel blocker	KCNA5, KCNH1			Sigma, Prestwick	46.21	BRD-K02680176-075-12-9, BRD-K02680176-075-11-1	Phase 2
clofoctol	protein synthesis inhibitor		infectious disease	gram-positive bacterial infections	Selleck, MicroSource	97.9	BRD-K02900412-001-11-3, BRD-K02900412-001-12-1	Launched
clomesone	DNA inhibitor				Enamine	0	BRD-K39230570-001-01-1	Phase 1
clomethiazole	GABA receptor antagonist, GABA receptor modulator	GABRA1	neurology/psychiatry	Parkinson's Disease, sedative, muscle relaxant	Tocris, Enamine	94.39	BRD-K50422030-003-02-6, BRD-K50422030-001-05-3	Launched
clomifene	estrogen receptor antagonist	ESR1	obstetrics/gynecology	infertility	MicroSource, Selleck, Selleck	94.27	BRD-K29950728-048-17-4, BRD-K29950728-048-16-6, BRD-K29950728-048-18-2	Launched
clomipramine	serotonin transporter (SERT) inhibitor	GSTP1, HTR2A, HTR2B, HTR2C, SLC6A2, SLC6A3, SLC6A4	neurology/psychiatry	obsessive compulsive disorder (OCD)	MicroSource, Tocris, Selleck	92.56	BRD-K52989797-003-28-0, BRD-K52989797-003-27-2, BRD-K52989797-003-26-4	Launched
clonazepam	GABA benzodiazepine site receptor agonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, TSPO	neurology/psychiatry	seizures, panic disorders	MicroSource	96.01	BRD-K38183498-001-02-0	Launched
clonidine	adrenergic receptor agonist	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C	cardiology, neurology/psychiatry	hypertension, attention-deficit/hyperactivity disorder (ADHD)	MicroSource, Tocris, Selleck	99.61	BRD-K98530306-003-18-3, BRD-K98530306-003-17-5, BRD-K98530306-003-16-7	Launched
clonixin-lysinate	cyclooxygenase inhibitor		neurology/psychiatry	pain relief	Prestwick, Sigma	86.5	BRD-M63173034-001-02-8, BRD-M63173034-001-03-6	Launched
clopamide	sodium/chloride cotransporter inhibitor		cardiology	hypertension	Selleck	98.21	BRD-A85651701-001-19-7	Launched
cloperastine	antitussive		pulmonary	cough suppressant	MicroSource	97.64	BRD-A80908310-003-13-8	Launched
clopidogrel	purinergic receptor antagonist	P2RY12	cardiology, neurology/psychiatry	myocardial infarction, stroke, peripheral artery disease (PAD), acute coronary syndrome (ACS)	Selleck, MicroSource, Selleck	99.2	BRD-K27721098-065-10-2, BRD-K27721098-065-09-4, BRD-K27721098-065-08-6	Launched
clopidol			infectious disease	coccidiosis	MicroSource	95.89	BRD-K80036624-001-04-0	Launched
cloprostenol-(+/-)	prostaglandin receptor agonist	PTGDR, PTGER1, PTGER3, PTGFR, TBXA2R			Tocris	93.34	BRD-K17850764-236-11-9	Launched
cloranolol	adrenergic receptor antagonist	ADRB1, ADRB2, ADRB3			Sigma	97.23	BRD-A04971881-003-01-3	Launched
clorgiline	monoamine oxidase inhibitor	MAOA			Selleck, MicroSource	97.37	BRD-K73251053-003-21-4, BRD-K73251053-003-22-2	Phase 2
clorotepine	dopamine receptor antagonist, adrenergic receptor antagonist	ADRA1A, ADRA1B, ADRA1D, DRD2, HRH1, HTR2C, HTR6	neurology/psychiatry	psychosis	Sigma	99.23	BRD-A19053834-050-09-5	Launched
clorprenaline	adrenergic receptor agonist	ADRB1, ADRB2	pulmonary	asthma	Selleck	95.94	BRD-A29281099-003-03-2	Launched
clorsulon	glycolysis inhibitor		infectious disease	gastrointestinal roundworms, lungworms, liver flukes, lice, mites	MicroSource, Selleck	99.05	BRD-K97521363-001-16-1, BRD-K97521363-001-15-3	Launched
closantel	chitinase inhibitor, NFkB pathway inhibitor		infectious disease	liver flukes	MicroSource, Selleck, Selleck, Selleck	99.14	BRD-A19952358-001-11-3, BRD-A19952358-236-01-6, BRD-A19952358-001-10-5, BRD-A19952358-001-12-1	Launched
clotiapine			neurology/psychiatry	psychosis	Enzo	98.82	BRD-K10990317-001-04-5	Launched
clotrimazole	cytochrome P450 inhibitor, imidazoline receptor ligand	CYP3A4, KCNN4, NR1I2, NR1I3, TRPM2, TRPM4, TRPM8	infectious disease	vulvovaginal candidiasis, oropharyngeal candidiasis	Tocris, MicroSource, Selleck	98.93	BRD-K15916496-001-29-5, BRD-K15916496-001-27-9, BRD-K15916496-001-26-1	Launched
cloxacillin	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections	MicroSource, Selleck, Selleck	94.98	BRD-K01244426-236-12-1, BRD-K01244426-323-07-7, BRD-K01244426-323-08-5	Launched
cloxyquin	potassium channel activator	KCNK18			MicroSource	94.72	BRD-K46982791-001-09-4	Preclinical
clozapine	dopamine receptor antagonist, serotonin receptor antagonist	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CALY, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HRH4, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR3A, HTR5A, HTR6, HTR7	neurology/psychiatry	schizophrenia	MicroSource, Selleck, Tocris, Selleck	95.42	BRD-K37289225-001-36-4, BRD-K37289225-001-34-9, BRD-K37289225-001-35-6, BRD-K37289225-001-37-2	Launched
CL316243	adrenergic receptor agonist	ADRB3, UCP1, UCP2, UCP3			Tocris	96.36	BRD-K06467130-304-02-7	Phase 2
CMPD-1	p38 MAPK inhibitor	GNRHR, MAPK14			Tocris, Tocris	96.43	BRD-K54095730-001-03-1, BRD-K54095730-001-04-9	Preclinical
CNQX	glutamate receptor antagonist	GRIA1, GRIA2, GRIA3, GRIA4			Tocris, Tocris	97.7	BRD-K19438463-304-01-2, BRD-K19438463-001-05-5	Phase 1
CNX-2006	EGFR inhibitor	EGFR			MedChemEx	88.48	BRD-K24869513-001-02-1	Preclinical
CNX-774	Bruton's tyrosine kinase (BTK) inhibitor	BTK			Selleck	96.11	BRD-K48443249-001-01-0	Preclinical
CO-101244	glutamate receptor antagonist	GRIN2B			Tocris, Tocris	94.77	BRD-K55677650-003-02-9, BRD-K55677650-003-03-7	Preclinical
co-102862		SCN4A, SCN9A			Tocris	97.69	BRD-K70912147-001-01-8	Phase 1
cobicistat	cytochrome P450 inhibitor	CYP3A4, CYP3A43, CYP3A5, CYP3A7	infectious disease	human immunodeficiency virus (HIV-1)	Selleck	95.36	BRD-K51040301-001-02-1	Launched
cobimetinib	MEK inhibitor		oncology	melanoma	MedChemEx	91.15	BRD-K03390685-001-01-7	Launched
coenzyme-a		ACAT2, CRAT, CS, DBI, HMGCR, KAT2A, KAT2B, KAT5			ChemImpex	0	BRD-A67956599-002-01-3	Launched
coenzyme-i		AASS, ACADS, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH7, AKR1B1, AKR1C1, AKR1C2, AKR1C3, AKR1C4, ALDH1A1, ALDH1A2, ALDH1A3, ALDH1B1, ALDH2, ALDH3A1, ALDH3A2, ALDH3B1, ALDH3B2, ALDH4A1, ALDH5A1, ALDH6A1, ALDH7A1, ALDH9A1, AMT, BDH1, BLVRA, BLVRB, CDO1, CYB5R3, CYP17A1, CYP4A11, DHCR7, DHFR, DLAT, DLD, EHHADH, GAPDH, GAPDHS, GLUD1, GLUD2, GPD1, GSR, H6PD, HADH, HADHA, HIBADH, HMGCR, HMOX1, HMOX2, HPGD, HSD11B1, HSD11B2, HSD17B1, HSD17B10, HSD17B2, HSD17B3, HSD17B4, HSD17B7, HSD17B8, HSD3B1, HSD3B2, IDH3A, IDH3B, IDH3G, IMPDH1, IMPDH2, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, MDH1, MDH2, ME1, ME2, ME3, MSMO1, MT-ND1, MT-ND2, MT-ND3, MT-ND4, MT-ND4L, MT-ND5, MT-ND6, MTHFD1, MTHFD2, NDUFA1, NDUFA10, NDUFA11, NDUFA12, NDUFA13, NDUFA2, NDUFA3, NDUFA4, NDUFA4L2, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB10, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFV3, NNT, NQO2, NSDHL, OGDH, PDHA1, PDHA2, PDHB, PHGDH, PYCR1, PYCR2, QDPR, RDH5, SORD, TSTA3, TYR, UGDH			Apollo, SantaCruz	0	BRD-A84188517-304-01-1, BRD-A84188517-304-02-9	Phase 2
coenzyme-q10					Sigma, Selleck, Selleck	0	BRD-K75043328-001-05-9, BRD-K75043328-001-04-2, BRD-K75043328-001-03-4	Launched
colchicine	microtubule inhibitor	GLRA1, GLRA2, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8	rheumatology, endocrinology	gout, fever	MicroSource, Tocris	96.57	BRD-K00259736-001-16-4, BRD-K00259736-001-18-0	Launched
colesevalam					MicroSource	0	BRD-U08520523-000-01-0	Preclinical
colforsin	adenylyl cyclase activator	ADCY2, ADCY5			MicroSource	100	BRD-A55416093-001-06-4	Phase 2
colforsin-daproate	adenylyl cyclase activator				EMDBio	100	BRD-K19388745-003-01-7	Launched
colfosceril-palmitate	pulmonary surfactant		pulmonary	respiratory distress syndrome (RDS)	Sigma, Acros	0	BRD-A95886749-001-04-3, BRD-A95886749-001-03-5	Launched
colistimethate	bacterial permeability inducer		infectious disease	gram-negative bacterial infections	MicroSource, Selleck	0	BRD-A13668387-319-04-7, BRD-A44942307-405-01-9	Launched
colistin	bacterial permeability inducer		infectious disease	gram-negative bacterial infections	MedChemEx, MedChemEx	65.4	BRD-A18924964-065-01-5, BRD-A18924964-065-02-3	Launched
colistin-b-sulfate	bacterial permeability inducer		infectious disease	gram-negative bacterial infections	Enzo	46.42	BRD-A36456202-001-01-3	Launched
colistin-sulfate	bacterial permeability inducer		infectious disease	gram-negative bacterial infections	MicroSource, Selleck, Selleck	55.02	BRD-A45201156-315-02-0, BRD-K57773246-001-01-1, BRD-K57773246-001-02-9	Launched
combretastatin-A-4	tubulin polymerization inhibitor				ChemDiv	87.15	BRD-K61195623-001-01-4	Phase 2
compound-w	beta-secretase inhibitor	BACE1			Tocris	98.85	BRD-K98143539-001-02-2	Preclinical
compound-401	DNA dependent protein kinase inhibitor	MTOR, PRKDC			Tocris	99.02	BRD-K19655798-001-01-9	Preclinical
compound-58112					Sigma	97.83	BRD-K76139886-003-01-3	Preclinical
conivaptan	vasopressin receptor antagonist	AVPR1A, AVPR2	endocrinology	hyponatremia	Selleck	98.26	BRD-K37385792-003-02-1	Launched
copanlisib	PI3K inhibitor	PIK3CA, PIK3CB, PIK3CD, PIK3CG	hematologic malignancy	follicular lymphoma	MedChemEx, MedChemEx	97.22	BRD-K24666289-001-02-3, BRD-K24666289-001-04-9	Launched
copper-histidine		HAL, HARS, HDC, SLC15A3, SLC15A4, SLC38A3, SLC38A5			Enzo	93.67	BRD-K36449075-001-01-0	Phase 3
COR-170	cannabinoid receptor inverse agonist	CNR2			Tocris	98.6	BRD-K74965187-001-01-3	Preclinical
cordycepin	DNA inhibitor				Tocris, Tocris	98.83	BRD-K65428967-001-08-4, BRD-K65428967-001-09-2	Phase 1/Phase 2
corosolic-acid	PKC inhibitor, protein tyrosine kinase inhibitor	HSD11B1, PTPN1			MedChemEx	96.17	BRD-K27885593-001-06-8	Phase 2
corticosterone	mineralocorticoid receptor agonist	HSD11B1, NCOA1, NR3C2			Prestwick, Tocris	98.1	BRD-K73589401-001-23-6, BRD-K73589401-001-25-1	Preclinical
cortisone	glucocorticoid receptor agonist	NR3C1	gastroenterology, rheumatology, dermatology	ulcerative colitis, rheumatoid arthritis, psoriasis, joint inflammation, eczema	MicroSource	93.59	BRD-A62731508-001-05-8	Launched
cortisone-acetate	glucocorticoid receptor agonist	NR3C1	pulmonary, rheumatology, allergy, dermatology, ophthalmology, gastroenterology, infectious disease	asthma, rheumatoid arthritis, urticaria, osteoarthritis, psoriasis, allergic rhinitis, conjunctivitis, ulcerative colitis, meningitis	MicroSource, Selleck, Selleck	87.13	BRD-K86161929-001-13-3, BRD-K86161929-001-11-7, BRD-K86161929-001-12-5	Launched
cortodoxone	androgen receptor antagonist	AR			Vitas-M, MedChemEx, Sigma	94.37	BRD-K43736954-001-22-3, BRD-K32891457-001-16-3, BRD-K32891457-001-15-5	Phase 3
costunolide	telomerase inhibitor				Selleck, Tocris, Selleck	89.25	BRD-K26833429-001-04-4, BRD-K26833429-001-03-6, BRD-K26833429-001-02-8	Preclinical
cot-inhibitor-1	MAPK-interacting kinase inhibitor	MAP3K8			MedChemEx	90.4	BRD-K98710228-001-01-6	Preclinical
cot-inhibitor-2	MAPK-interacting kinase inhibitor	MAP3K8			MedChemEx, MedChemEx	93.1	BRD-K49468759-001-05-9, BRD-K49468759-001-04-2	Preclinical
cotinine	nicotine metabolite				MicroSource	97.89	BRD-K94144010-001-13-9	Phase 2
coumarin	vitamin K antagonist	CA1, CA12, CA14, CA2, CA4, CA6, CA9, CYP2A6	gastroenterology, pulmonary	ulcerative colitis, asthma, celiac disease	MicroSource, Selleck	99.45	BRD-K23913458-001-20-7, BRD-K23913458-001-19-9	Launched
coumophos	cholinesterase inhibitor				MicroSource	89.12	BRD-K41567533-001-08-3	Preclinical
CP-316819	glycogen phosphorylase inhibitor	PYGL			Tocris	95.8	BRD-K53913008-001-01-5	Preclinical
CP-339818	potassium channel blocker	KCNA3			Tocris	99.19	BRD-K52113681-003-02-1	Preclinical
CP-376395	corticosteroid releasing factor receptor antagonist	CRHR1			Key, Tocris	98.61	BRD-K31394475-001-01-9, BRD-K31394475-003-01-5	Phase 1
CP-471474	matrix metalloprotease inhibitor	MMP1, MMP13, MMP2, MMP3, MMP9			Tocris	75.47	BRD-K33234937-001-01-7	Preclinical
CP-532623	cholesteryl ester transfer protein inhibitor	CETP			Sigma	98.71	BRD-K36611520-001-01-6	Phase 1
CP-640186	acetyl-CoA carboxylase inhibitor	ACACA, ACACB			MedChemEx	89.9	BRD-K26921335-003-01-2	Preclinical
CP-673451	PDGFR tyrosine kinase receptor inhibitor	KIT, PDGFRA, PDGFRB			Selleck, Selleck	91.79	BRD-K43621685-001-02-5, BRD-K43621685-001-03-3	Preclinical
CP-724714	EGFR inhibitor, protein tyrosine kinase inhibitor	ERBB2			Selleck	97.14	BRD-K76908866-001-07-6	Phase 2
CP-775146	PPAR receptor agonist	PPARA			Tocris	97.47	BRD-K96843359-001-02-6	Preclinical
CP-91149	glycogen phosphorylase inhibitor	PYGL			Selleck	97.92	BRD-K19171642-001-02-3	Preclinical
CP-93129	serotonin receptor agonist	HTR1A			Tocris	87.99	BRD-K81876028-300-02-0	Preclinical
CP-94253	serotonin receptor agonist	HTR1B			Tocris, Tocris	92.31	BRD-K33860217-003-04-0, BRD-K33860217-003-03-2	Preclinical
CP-945,598	cannabinoid receptor antagonist	CNR1			MedChemEx	98.78	BRD-K09090949-001-01-9	Phase 3
CP-99994	tachykinin antagonist	TACR1			Tocris	94.58	BRD-K09946180-300-01-6	Phase 2
CPA-inhibitor	carboxypeptidase inhibitor	CPA1, CPA2			MedChemEx	95.18	BRD-A69126730-001-01-3	Preclinical
CPCCOEt	glutamate receptor antagonist	GRM1			Tocris, Tocris	96.83	BRD-A05729358-001-03-8, BRD-A05729358-001-02-0	Preclinical
CPI-0610	bromodomain inhibitor	BRD4			MedChemEx	97.89	BRD-K19871656-001-01-3	Phase 1
CPI-1189	tumor necrosis factor release inhibitor	TNF			ChemDiv	98.62	BRD-K11073688-001-01-6	Phase 2
CPI-169	histone lysine methyltransferase inhibitor	EZH2			MedChemEx	93.82	BRD-K97181972-001-01-9	Preclinical
CPI-203	bromodomain inhibitor	BRD4			Tocris, MedChemEx	94.7	BRD-K15811707-001-02-0, BRD-K15811707-001-01-2	Preclinical
CPI-360	histone lysine methyltransferase inhibitor	EZH2			MedChemEx	94.64	BRD-K18319422-001-01-7	Preclinical
CPI-613	pyruvate dehydrogenase inhibitor	PDHA1			Selleck	95.51	BRD-A06916187-001-02-9	Phase 2
CPP	glutamate receptor antagonist	GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D			Tocris, EMDBio, AMS	93.04	BRD-K66094457-001-02-3, BRD-K66094457-001-01-5, BRD-A60832661-001-01-8	Phase 2
CPSI-1306-(+/-)	macrophage migration inhibiting factor inhibitor	MIF			Tocris	96.78	BRD-A81603255-001-01-0	Preclinical
creatine		CKB, CKM, CKMT1A, CKMT2, GAMT, SLC6A8			Vitas-M	100	BRD-K19615002-001-02-3	Launched
creatinine					Selleck, MicroSource	100	BRD-K13495773-001-11-4, BRD-K13495773-001-12-2	Preclinical
creatinol-phosphate					CombiBlocks, CombiBlocks	100	BRD-K42991124-001-04-8, BRD-K42991124-001-03-0	Launched
crenolanib	PDGFR tyrosine kinase receptor inhibitor	CSF1R, FLT3, KIT, PDGFRA, PDGFRB			Selleck, Selleck	91.35	BRD-K22127577-001-03-7, BRD-K22127577-001-02-9	Phase 2
cresol					MicroSource	78.99	BRD-K56940914-001-04-2	Launched
cresopirine					MicroSource	94.31	BRD-K58648841-001-04-7	Preclinical
cridanimod	progesterone receptor agonist	PGR			ChemDiv, Sigma	98.36	BRD-K97939847-001-11-2, BRD-K97939847-001-12-0	Launched
crisaborole	phosphodiesterase inhibitor	PDE4B			MedChemEx	93.42	BRD-K43230258-001-01-4	Phase 3
crizotinib	ALK tyrosine kinase receptor inhibitor	ALK, MET	oncology	non-small cell lung cancer (NSCLC)	MedChemEx, Selleck, Selleck	89.1	BRD-K78431006-001-15-1, BRD-K78431006-001-10-2, BRD-K78431006-001-11-0	Launched
crizotinib-(S)	MTH1 inhibitor	NUDT1			Selleck, Selleck	91.61	BRD-K40308497-001-02-0, BRD-K40308497-001-01-2	Preclinical
croconazole	bacterial cell wall synthesis inhibitor				AKSci	0	BRD-K73701464-003-01-3	Launched
cromakalim		KCNJ8			Tocris	99.22	BRD-M89827113-001-01-5	Phase 2
cromoglicic-acid	immunosuppressant	KCNMA1, S100P	pulmonary, ophthalmology, allergy, gastroenterology	asthma, conjunctivitis, urticaria, ulcerative colitis	MicroSource, Selleck	100	BRD-K20920669-304-10-9, BRD-K20920669-304-09-1	Launched
crotamiton	antipruritic		infectious disease	scabies	MicroSource	85.06	BRD-K57179821-001-15-4	Launched
CRT0044876					Selleck	96.56	BRD-K02816415-001-01-9	Preclinical
cryptotanshinone	acetylcholinesterase inhibitor, STAT inhibitor	STAT3			MedChemEx, MedChemEx, Selleck, Selleck	66.48	BRD-K33336844-001-11-1, BRD-K33336844-001-10-3, BRD-K33336844-001-09-5, BRD-K33336844-001-12-9	Preclinical
crystal-violet	other antibiotic				Selleck, Selleck, MicroSource	86.06	BRD-K60025295-003-07-4, BRD-K60025295-003-05-8, BRD-K60025295-003-06-6	Launched
CR8-(R)	CDK inhibitor	CCNA2			Tocris, Tocris	96.87	BRD-K40331046-305-01-5, BRD-K40331046-305-02-3	Preclinical
CS-110266	dopamine receptor agonist	SLC6A3			Tocris, Tocris	94.58	BRD-K15519488-050-02-1, BRD-K15519488-050-01-3	Preclinical
CS-917	fructose biphosphate inhibitor	FBP1			MedChemEx, MedChemEx	92.89	BRD-K35601925-001-01-9, BRD-K35601925-001-02-7	Phase 2
CT-7758	integrin antagonist	ITGA4			MedChemEx	96.91	BRD-K40870905-001-01-7	Phase 2
CTEP	glutamate receptor antagonist	GRM5			Selleck	96.37	BRD-K30572193-001-02-0	Preclinical
CTS-1027	metalloproteinase inhibitor	MMP1, MMP13, MMP2, MMP3, MMP9			MedChemEx, MedChemEx	97.14	BRD-K53508936-001-02-8, BRD-K53508936-001-01-0	Phase 2
CTS21166	beta-secretase inhibitor	BACE1			EMDBio	78.39	BRD-K89071957-001-01-1	Phase 1
CU-CPT-4a	toll-like receptor inhibitor	TLR3			Tocris	91.08	BRD-K58234744-001-01-0	Preclinical
CU-T12-9	toll-like receptor agonist	TLR1, TLR2			Tocris	94.4	BRD-K89462779-001-01-8	Preclinical
CUDC-101	EGFR inhibitor	EGFR, ERBB2			Selleck	94.69	BRD-K41278234-001-03-0	Phase 1
CUDC-427	apoptosis inhibitor	XIAP			MedChemEx, MedChemEx	86.1	BRD-K69351586-001-02-8, BRD-K69351586-001-01-0	Phase 1
CUDC-907	PI3K inhibitor	HDAC2, PIK3R1			Selleck	91.24	BRD-K77638923-001-02-0	Phase 2
CUR-61414	smoothened receptor antagonist	DHH, IHH, SMO			Cayman	97.61	BRD-K69624312-001-01-1	Phase 1
curcumin	cyclooxygenase inhibitor, histone acetyltransferase inhibitor, lipoxygenase inhibitor, NFkB pathway inhibitor	APP, CA1, CA12, CA14, CA2, CA4, CA6, CA9, CYP3A4, DNMT3B, EP300, MMP13, MMP9, NOS2, PTGS1, PTGS2, XDH			Selleck, Selleck, Enzo	91.77	BRD-K07572174-001-39-4, BRD-K07572174-001-38-6, BRD-K07572174-001-43-6	Launched
curcumol	JAK inhibitor	JAK1, JAK2, JAK3			Selleck, Selleck	82.1	BRD-K41933240-001-02-4, BRD-K41933240-001-03-2	Phase 1
cutamesine	sigma receptor agonist	SIGMAR1			MedChemEx, Tocris	95.88	BRD-K90777969-300-01-2, BRD-K90777969-300-02-0	Phase 2
CV-1808	adenosine receptor agonist	ADORA2A			Tocris	95.83	BRD-K49197823-001-09-8	Preclinical
CVT-10216	aldehyde dehydrogenase inhibitor	ALDH2			Sigma, Tocris	96.71	BRD-K60659193-001-01-0, BRD-K60659193-001-02-8	Phase 1
CW-008	PKA activator	PRKACA			Tocris	92.05	BRD-K84068331-001-01-9	Preclinical
CX-4945	casein kinase inhibitor	CSNK2A1, CSNK2A2, DAPK3, HIPK3			Selleck	98.07	BRD-K81458380-001-04-9	Phase 1/Phase 2
CX-516	glutamate receptor modulator				Tocris	98.29	BRD-K25140590-001-03-0	Phase 2/Phase 3
CX-5461	RNA polymerase inhibitor				MedChemEx	96.98	BRD-K12787259-001-04-3	Phase 1
cyacetacide					MicroSource	93.04	BRD-K39371216-001-01-3	Preclinical
cyamemazine	serotonin receptor antagonist	HTR1A, HTR2A, HTR2C, HTR7	neurology/psychiatry	schizophrenia, anxiety	Sigma	87.23	BRD-A42881122-001-01-1	Launched
cyanocobalamin	methylmalonyl CoA mutase stimulant, vitamin B	MMAA, MMACHC, MTHFR, MTR, MTRR, MUT	hematology, infectious disease, gastroenterology	anemia, fish tapeworm infestation, celiac disease	MicroSource, Selleck	97.22	BRD-A18627414-001-05-6, BRD-A18627414-001-04-9	Launched
cyanopindolol	adrenergic receptor antagonist	ADRB1, HTR1A, HTR1D			Tocris	96.81	BRD-A47884604-051-01-2	Phase 2
cyclamic-acid					MicroSource, MicroSource, Selleck	100	BRD-K50785021-001-04-7, BRD-K50785021-001-03-9, BRD-K50785021-001-02-1	Preclinical
cyclandelate	calcium channel blocker	CACNA2D1, CES1	cardiology, rheumatology	claudication, arteriosclerosis, Raynaud's disease	MicroSource, Selleck, Selleck	96.1	BRD-A27370296-001-03-0, BRD-A27370296-001-02-2, BRD-A27370296-001-04-8	Launched
cyclic-AMP		CNGA3, HCN2, PRKAR1A, PRKAR2B, TRPM7			ChemDiv	100	BRD-A41840684-001-01-8	Preclinical
cyclizine	histamine receptor modulator	HRH1, SULT1E1	gastroenterology, neurology/psychiatry	nausea, vomiting, vertigo, motion sickness	MicroSource, Selleck	99.27	BRD-K79501723-001-04-6, BRD-K79501723-300-01-8	Launched
